City,Country,Region,_time,count,isIP,isIPv6,isMissingLocation,isPrivateOrReserved,lat,lon,modifiedByPython,modifiedByPythonTimestamp,src
Nesbru,Norway,Viken,2022-01-31T08:41:22.000+0100,1,true,false,false,false,59.85640,10.49660,,,85.165.194.174
Oslo,Norway,Oslo County,2022-01-31T08:39:39.000+0100,4,true,false,false,false,59.95500,10.85900,,,92.220.16.58
Baerums verk,Norway,Viken,2022-01-31T08:39:38.000+0100,14,true,false,false,false,59.94540,10.51110,,,92.220.44.147
,Norway,,2022-01-31T08:37:46.000+0100,2,true,false,true,false,59.94520,10.75590,,,77.18.52.132
Oslo,Norway,Oslo County,2022-01-31T08:37:10.000+0100,1,true,false,false,false,59.95500,10.85900,,,51.175.192.111
Oslo,Norway,Oslo County,2022-01-31T08:36:22.000+0100,4,true,false,false,false,59.95500,10.85900,,,81.166.194.47
Hovik verk,Norway,Viken,2022-01-31T08:34:55.000+0100,18,true,false,false,false,59.89220,10.57990,,,84.202.42.129
Jessheim,Norway,Viken,2022-01-31T08:34:09.000+0100,6,true,false,false,false,60.13690,11.18530,,,77.40.218.98
,Norway,,2022-01-31T08:33:55.000+0100,1,true,false,true,false,59.94520,10.75590,,,46.230.134.161
Jar,Norway,Viken,2022-01-31T08:33:52.000+0100,1,true,false,false,false,59.92720,10.62560,,,109.189.66.41
Oslo,Norway,Oslo County,2022-01-31T08:33:39.000+0100,35,true,false,false,false,59.95500,10.85900,,,62.16.208.107
Oslo,Norway,Oslo County,2022-01-31T08:33:11.000+0100,2,true,false,false,false,59.95500,10.85900,,,37.120.149.43
Asker,Norway,Viken,2022-01-31T08:32:08.000+0100,5,true,false,false,false,59.83480,10.42770,,,85.165.44.9
Hovik verk,Norway,Viken,2022-01-31T08:31:53.000+0100,2,true,false,false,false,59.89220,10.57990,,,51.175.71.184
Oslo,Norway,Oslo County,2022-01-31T08:31:36.000+0100,1,true,false,false,false,59.95500,10.85900,,,80.203.123.202
Nesbru,Norway,Viken,2022-01-31T08:31:08.000+0100,2,true,false,false,false,59.85640,10.49660,,,85.165.195.202
Stavanger,Norway,Rogaland,2022-01-31T08:28:07.000+0100,1,true,false,false,false,58.96710,5.76140,,,46.15.21.194
Rykkin,Norway,Viken,2022-01-31T08:27:51.000+0100,2,true,false,false,false,59.92810,10.49650,,,85.167.18.156
Reistad,Norway,Viken,2022-01-31T08:26:56.000+0100,6,true,false,false,false,59.78310,10.28960,,,79.160.41.16
Hasle,Norway,Viken,2022-01-31T08:26:07.000+0100,3,true,false,false,false,59.93350,10.58370,,,109.189.17.46
Oslo,Norway,Oslo County,2022-01-31T08:24:36.000+0100,4,true,false,false,false,59.95500,10.85900,,,84.213.32.117
Sandvika,Norway,Viken,2022-01-31T08:23:51.000+0100,1,true,false,false,false,59.89520,10.52950,,,109.189.208.41
Oslo,Norway,Oslo County,2022-01-31T08:22:17.000+0100,1,true,false,false,false,59.95500,10.85900,,,84.208.182.171
Baerums verk,Norway,Viken,2022-01-31T08:21:03.000+0100,1,true,false,false,false,59.94540,10.51110,,,109.189.55.32
Oslo,Norway,Oslo County,2022-01-31T08:21:03.000+0100,14,true,false,false,false,59.95500,10.85900,,,84.209.2.239
Oslo,Norway,Oslo County,2022-01-31T08:19:53.000+0100,53,true,false,false,false,59.95500,10.85900,,,92.220.19.155
,Norway,,2022-01-31T08:19:49.000+0100,1,true,false,true,false,59.94520,10.75590,,,46.230.135.235
,Norway,Vestland,2022-01-31T08:19:24.000+0100,1,true,false,true,false,60.39510,5.32370,,,89.8.167.249
Oslo,Norway,Oslo County,2022-01-31T08:16:55.000+0100,3,true,false,false,false,59.95500,10.85900,,,217.197.165.95
Oslo,Norway,Oslo County,2022-01-31T08:16:05.000+0100,10,true,false,false,false,59.86360,10.79610,,,104.28.31.34
Oslo,Norway,Oslo County,2022-01-31T08:12:56.000+0100,2,true,false,false,false,59.95500,10.85900,,,82.196.201.186
Vettre,Norway,Viken,2022-01-31T08:10:55.000+0100,26,true,false,false,false,59.82180,10.47990,,,85.165.103.226
,Norway,,2022-01-31T08:09:39.000+0100,1,true,false,true,false,59.94520,10.75590,,,77.18.54.158
Oslo,Norway,Oslo County,2022-01-31T08:09:10.000+0100,18,true,false,false,false,59.95500,10.85900,,,51.175.99.197
Oslo,Norway,Oslo County,2022-01-31T08:08:10.000+0100,1,true,false,false,false,59.95500,10.85900,,,89.8.80.145
Oslo,Norway,Oslo County,2022-01-31T08:07:21.000+0100,1,true,false,false,false,59.95500,10.85900,,,84.209.167.23
Oslo,Norway,Oslo County,2022-01-31T08:05:42.000+0100,3,true,false,false,false,59.95500,10.85900,,,51.175.235.128
Baerums verk,Norway,Viken,2022-01-31T08:05:03.000+0100,8,true,false,false,false,59.94540,10.51110,,,92.220.44.170
Oslo,Norway,Oslo County,2022-01-31T08:04:37.000+0100,1,true,false,false,false,59.95500,10.85900,,,77.16.54.111
Asker,Norway,Viken,2022-01-31T08:02:16.000+0100,1,true,false,false,false,59.81620,10.45080,,,85.166.235.150
